pdf_path,questions_file,output_file,llm_model,embedding_model,chunk_size,chunk_overlap,bm25_k,vector_k,ensemble_weights,reranker_model,reranker_top_n,timestamp,avg_bleu,reference_accuracy,num_questions_evaluated,avg_rouge1_recall,avg_rouge2_recall,run_id
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,7,7,"[0.6, 0.4]",bge-reranker-base,4,20250605_162036,0.4812,0.716,81,0.8481,0.7082,20250605_162036
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,m3e-base,300,100,7,7,"[0.6, 0.4]",bge-reranker-v2-m3,4,20250605_164301,0.4548,0.7037,81,0.8713,0.7319,20250605_164301
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_184517,0.4631,0.7654,81,0.8201,0.6837,20250605_184517
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_185258,0.4725,0.7778,81,0.8318,0.7006,20250605_185258
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.5, 0.5]",bge-reranker-base,3,20250605_190031,0.4502,0.7654,81,0.8184,0.6769,20250605_190031
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.5, 0.5]",bge-reranker-base,3,20250605_190810,0.4754,0.7778,81,0.831,0.6995,20250605_190810
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_191547,0.4654,0.7654,81,0.822,0.6891,20250605_191547
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,3,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_192324,0.4827,0.7778,81,0.829,0.6979,20250605_192324
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,3,"[0.7, 0.3]",bge-reranker-base,3,20250605_193101,0.4629,0.7654,81,0.8236,0.6912,20250605_193101
./汽车介绍手册.pdf,./QA_pairs.json,./answers_temp.json,c101-qwen25-72b,xiaobu-embedding-v2,300,100,5,5,"[0.7, 0.3]",bge-reranker-base,3,20250605_193838,0.4708,0.7778,81,0.8244,0.6911,20250605_193838
